BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
4 557;384 867;Kiwi 104 Moholt;11.07.2019 15:00:00;11.06.2019 13:00:00;4431;57609
4 557;384 867;Kiwi 104 Moholt;11.08.2019 08:45:00;11.06.2019 21:00:00;5119;29178
4 564;384 974;Kiwi 105 Holmen;11.04.2019 09:20:00;11.01.2019 09:00:00;1121;33508
4 564;384 974;Kiwi 105 Holmen;11.05.2019 11:30:00;11.03.2019 21:00:00;2115;12259
4 564;384 974;Kiwi 105 Holmen;11.06.2019 10:00:00;11.04.2019 21:00:00;3132;34005
4 564;384 974;Kiwi 105 Holmen;11.07.2019 10:00:00;11.05.2019 21:00:00;4119;14743
4 564;384 974;Kiwi 105 Holmen;11.08.2019 08:30:00;11.06.2019 21:00:00;5107;29170
4 613;502 930;Kiwi 106 Ytteren;11.04.2019 04:00:00;10.31.2019 21:00:00;6190;26728
4 613;502 930;Kiwi 106 Ytteren;11.05.2019 04:00:00;11.01.2019 10:00:00;1190;21495
4 613;502 930;Kiwi 106 Ytteren;11.06.2019 04:00:00;11.04.2019 10:00:00;2190;78249
4 613;502 930;Kiwi 106 Ytteren;11.08.2019 04:00:00;11.06.2019 10:00:00;4190;56387
4 894;908 632;Kiwi 107 Stormyra;11.04.2019 12:00:00;10.31.2019 21:00:00;6992;40323
4 894;908 632;Kiwi 107 Stormyra;11.05.2019 08:30:00;11.01.2019 10:00:00;1991;72535
4 894;908 632;Kiwi 107 Stormyra;11.06.2019 08:00:00;11.04.2019 09:00:00;2991;31458
4 894;908 632;Kiwi 107 Stormyra;11.07.2019 11:00:00;11.05.2019 09:00:00;3992;12249
4 894;908 632;Kiwi 107 Stormyra;11.08.2019 08:00:00;11.06.2019 09:00:00;4991;15090
4 902;908 277;Kiwi 108 Nordsia;11.04.2019 10:30:00;11.01.2019 09:00:00;1132;23825
4 902;908 277;Kiwi 108 Nordsia;11.05.2019 10:00:00;11.03.2019 21:00:00;2103;14234
4 902;908 277;Kiwi 108 Nordsia;11.06.2019 16:00:00;11.05.2019 13:00:00;3433;57601
4 902;908 277;Kiwi 108 Nordsia;11.07.2019 10:00:00;11.05.2019 21:00:00;4114;31876
4 902;908 277;Kiwi 108 Nordsia;11.08.2019 09:00:00;11.06.2019 21:00:00;5116;15043
4 902;908 277;Kiwi 108 Nordsia;11.09.2019 09:00:00;11.07.2019 21:00:00;6333;33360
4 923;910 646;Kiwi 109 Moan;11.04.2019 09:30:00;11.01.2019 09:00:00;1107;13673
4 923;910 646;Kiwi 109 Moan;11.05.2019 09:45:00;11.03.2019 21:00:00;2132;14194
4 923;910 646;Kiwi 109 Moan;11.06.2019 08:30:00;11.04.2019 21:00:00;3135;25242
4 923;910 646;Kiwi 109 Moan;11.08.2019 09:00:00;11.06.2019 21:00:00;5103;15011
5 017;936 732;Kiwi 111 Buvika;11.04.2019 08:00:00;11.01.2019 09:00:00;1119;44314
5 017;936 732;Kiwi 111 Buvika;11.06.2019 07:30:00;11.04.2019 21:00:00;3121;14454
5 017;936 732;Kiwi 111 Buvika;11.07.2019 14:00:00;11.06.2019 13:00:00;4433;57611
5 017;936 732;Kiwi 111 Buvika;11.08.2019 07:30:00;11.06.2019 21:00:00;5135;25274
4 930;980 433;Kiwi 112 Kirkegata Levanger;11.04.2019 10:15:00;11.01.2019 09:00:00;1107;13675
4 930;980 433;Kiwi 112 Kirkegata Levanger;11.05.2019 09:15:00;11.03.2019 21:00:00;2132;14219
4 930;980 433;Kiwi 112 Kirkegata Levanger;11.06.2019 09:00:00;11.04.2019 21:00:00;3135;25244
